id;RegNo;Name;Street;City;Phone;RT90NorthSouth;RT90EastWest;URL;IndustryCodes
hxWCnG77eu;165164060120;Nordea Bank AB;Humlegårdsgatan 12;STOCKHOLM;0771-224488;6581735;1629244;www.nordea.se;14
yLTZ4UJJAK;165164060120;Nordea Bank AB;Hantverkargatan 25;STOCKHOLM;0771-224488;6580782;1627542;www.nordea.se;14
zg24GJaaQB;165164060120;Nordea Bank AB;Hamngatan 12;STOCKHOLM;0771-224488;6581319;1628932;www.nordea.se;14
0LMsCww-4v;165569692030;Rawchokladfabriken Scandinavia AB;Hamngatan 2;ARVIKA;0570-12330;6619219;1319039;http://rawchokladfabriken.se;388
0TZ-44vvmn;165563412930;Massteknik Sweden AB;Ranhammarsvägen 12;BROMMA;08-829020;6582760;1622684;www.massteknik.se;26,560
~zzzSl55-X;165566419114;Södermäklarna Hallunda torg;Hallunda Torg;NORSBORG;08-53191720;6571255;1615333;www.sodermaklarna.se;258,559
zWCmOJEEaQ;196606211016;Ha-Miljö Närke Värmland;Malmgatan 14;ÖREBRO;019-128900;6573263;1465954;www.amiljo.com;1459
zWW_4Geeuc;165566931852;SkandiaMäklarna Danderyd;Vendevägen 9;DJURSHOLM;08-7558050;6588510;1629704;http://www.skandiamaklarna.se/kontor/danderyd http://www.skandiamaklarna.se/kontor/danderyd;258,559
L~Ws4HAAK7;162120001157;Dalhem Södra Förskola;Annerovägen 56;HELSINGBORG;042-102345;6219590;1308875;www.helsingborg.se;192
xTZ4UkEEaQ;165562802115;Rusta;Klastorpsvägen 12;SÖDERTÄLJE;0771-281010;6566076;1606173;www.rusta.se;84
y~SSMRlj2Z;165566711023;Hanvikens Ventilation AB;Vissvassvägen 28;TYRESÖ;08-7984902;6565792;1646681;www.tyresovent.com;233
LTRPjZCC5-;196606134085;Klädshopen Zoom in;Storgatan 26;EKEBY;042-77645;6211757;1323210;www.kladshopenzoomin.com;581,69
0TMZ5vbbko;165561929315;Din Sko;Strömpilsplatsen 9;UMEÅ;090-199510;7084685;1721490;www.dinsko.se;75
00dW_vHbko;165566692710;Delling Group;Sveavägen 168;STOCKHOLM;08-58646000;6583261;1627573;www.dellinggroup.se;247
VgW_mUHGqb;165566529565;Prelek;Kista Centrum;KISTA;08-6325890;;;www.prelek.se;47
~zzg2-HHGq;165560688565;LINDEX;Valbo Köpcentrum;VALBO;010-4526169;6724634;1565034;www.lindex.se;581,69
yhM_XnooJA;165561929315;Din Sko;Kungsportsavenyen 16;GÖTEBORG;031-3522450;6403758;1271703;www.dinsko.se;75
izzMMljjZs;165565444220;Sigma Global Services AB;Telegrafgatan 8A;SOLNA;08-55335000;6585238;1625802;www.sigma.se;540,241
zSjss-HHGq;165565318325;Carlings;Sergelgången 3;STOCKHOLM;010-2063276;6581255;1628803;www.carlings.no;69
hSTP2wUoJA;165569113391;Tollereds Hotell AB;Volrath Bergs Väg 11;TOLLERED;0302-32970;6415494;1298905;www.tolleredshotell.se;1519
hTl2_nbbko;165566587670;Smärtcentrum i Umeå AB;Västra Norrlandsgatan 11D;UMEÅ;090-142800;7087876;1719351;www.smartcentrum.se;120
yhzWs511HG;165565295960;Dressmann;Västra Gatan 63;KUNGÄLV;010-2068736;6422550;1273223;www.dressmann.se;582,69
i0LSl54OU1;165566416375;Methodmedia Publishing Sweden AB;Krukmakargatan 22;STOCKHOLM;08-50005600;6579557;1628151;www.methodmedia.net;560
yhLxMZvvmn;165564251246;JYSK;Strandvägen 37;STENUNGSUND;077-0457457;6445819;1265044;www.jysk.se;294
~RCOkJJucE;165566404751;Pysselklubben;Lergöksgatan 2B;VÄSTRA FRÖLUNDA;031-7343777;6398850;1267125;www.pysselklubben.se;613,54
0hddTP--X4;165565493979;Glitter;Järngatan 6;NORRKÖPING;011-313520;;;www.glitter.se;60,460
VL~WCmmO1H;169697727742;Mobiltorget KB;Götgatan 16;GÖTEBORG;031-3880777;6404541;1271420;www.mobil-torget.se;47
dTWls4qqbk;165560688565;LINDEX;Kungsgatan 29;ALINGSÅS;010-4526063;6427540;1306375;www.lindex.se;69
VgRRZX444v;165560758962;Geidemarks Fastigheter Långängskrogen AB;Dornhammargatan 2;VÄSTERÅS;021-300060;6609316;1538679;www.gfast.nu;13
00STlww-4v;165590066477;Tamigo Sweden AB;Roslagsgatan 4;STOCKHOLM;08-41039199;6582613;1628384;www.tamigo.se;540
Lggj5UUHqb;197705203391;Tempo;Klockar-Calles Gata 5;GÄVLE;026-191230;6729534;1576987;www.tempo.se;268
~gMlPww5-X;165560489154;NP Nilssons Trävaru AB;Kristianstadsgatan 36;ÄNGELHOLM;0431-478200;6240245;1319321;www.npn.se;36,298,530
xTjjsCw5-X;165565437661;J&B Elinstallationer AB;Ödlegatan 5B;LULEÅ;0920-87900;7292687;1791666;www.jbel.nu;156
ixgZ-11Gbk;165590060686;Ademi Cars AB;Torbornavägen 15;HELSINGBORG;072-3077977;6212760;1310794;www.ademicars.se;502,76
VTgj2511HG;165164060104;FOREX Bank;Rådmansgatan 13;MALMÖ;010-2111666;6166331;1323158;www.forex.se;14
dTWl_-HHGq;165565295960;Dressmann;Storforsplan 11;FARSTA;010-2068514;6571260;1630505;www.dressmann.se;582,69
zSSj25---X;165567106876;OKQ8;Parallellgatan 53;HALLSBERG;0582-12750;6549116;1458406;www.okq8.se;153
VdW_4nOU1H;165565924015;Alertus Fastighetsbyrå;Turebergs Allé 2;SOLLENTUNA;08-358690;6591921;1621316;www.alertus.se;174,258,559
LxTMjCCw5-;165563731040;Grebbestad Sommarmöbler;Industrivägen 4;GREBBESTAD;0525-66200;6517653;1235790;http://www.sommarmobler.se/;56,527
zxR2C-HHGq;165562045004;Akademibokhandeln;Kungsgatan 54;UMEÅ;010-7441740;7087482;1719299;www.akademibokhandeln.se;62,46
xl5vvOOOU1;165565821021;Kvalitet i Livet HB;Kärralundsgatan 30;GÖTEBORG;090-134450;6404633;1274263;www.kvalitetilivet.com;401
ySSTgg2_Cw;194701223754;Hundpensionbokbacken;Högabergsvägen 10;TORMESTORP;0451-18385;6222770;1371754;www.hundpensionatbokbacken.se;762
hxj-mHkJK7;165590199716;Khai & Mui i Helsingborg AB;Kaliforniegatan 13;HELSINGBORG;042-4990689;6216798;1306469;http://khaimui.nu;269
VLS2sXGGqb;162321000164;Folktandvården Brickebacken;Granrisvägen 23;ÖREBRO;019-6024350;6568725;1467911;www.orebroll.se/folktandvarden;113
VzxRZvOGqb;196608087372;Nyköpings bilservice;Gasverksvägen 5;NYKÖPING;0155-286620;6514535;1570405;www.msbilskadecenter.se;152,153
hTTj-UUHqb;165565237913;Gotit;Första Långgatan 21;GÖTEBORG;031-7041790;6403764;1269875;www.gotit.se;540,241
xjwOOqqkoJ;168024163340;Lövstakooperativet;Roma Lövsta 5;ROMAKLOSTER;0498-218374;6381554;1657717;www.lovstakoop.se;8
y~M2-mkkoJ;165565295960;Dressmann;Per Albin Hanssons Väg 40;MALMÖ;010-2068703;6164865;1323325;www.dressmann.se;582,69
0zWlwmnOU1;195109277508;Osobra;Tryckerigatan 2;LUND;076-8796796;6178797;1335147;www.osobra.se;1359
~Rl251qbko;168020062074;IFU Utbildning;Sveavägen 65;STOCKHOLM;08-7369790;6582267;1628140;www.ifu.se;96
0xgRRw55-X;165562076926;OKQ8;Semsåvägen 44;ÖSTERSUND;063-510845;7011664;1441070;www.okq8.se;184,1145,1140
0hdl22Cw5-;165566383591;Moffe's Plåt AB;Lappstavägen 14;JOKKMOKK;070-6010919;7395171;1679136;www.moffes.se;522,36,168,532
yL~R_nnUHG;165566538897;L2 Design Group;Hamngatan 39A;VÄSTERVIK;0490-10183;6404032;1549575;www.l2.se;56
~T2_w5vmnO;169165486623;Mårtenssons Trafikskola;Storgatan 3;VELLINGE;010-3333231;6152902;1323633;http://www.trafikskolan.com;177
